file_name,chart_in_file,year,month,row_no,bird_species,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Boyd_M_Bird_journal_section1-024,2,,,13,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boyd_M_Bird_journal_section1-024,2,,,14,,,1,,,1,1,1,,,1,,,,,1,,,,,,,1,1,,1,1,,,,1,
Boyd_M_Bird_journal_section1-024,2,,,15,,,,,,1,,,,,,,1,,,,,,1,1,1,,1,1,1,,1,1,1,1,1,
Boyd_M_Bird_journal_section1-024,2,,,16,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Boyd_M_Bird_journal_section1-024,2,,,17,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Boyd_M_Bird_journal_section1-024,2,,,18,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,1,,1,
Boyd_M_Bird_journal_section1-024,2,,,19,,,,,,1,1,1,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,1,
Boyd_M_Bird_journal_section1-024,2,,,20,,,,,,1,,,,,,,1,,1,1,,,,,,,1,,,,,,,,,
Boyd_M_Bird_journal_section1-024,2,,,21,,,,,,,1,1,,,,,,,,1,,1,,,,1,1,1,1,1,1,1,,,,
Boyd_M_Bird_journal_section1-024,2,,,22,,,,,,,,,1,,1,,,,1,1,,,,,,,,,,,,,,,,
Boyd_M_Bird_journal_section1-024,2,,,23,,,,,,,,,,1,1,1,,1,1,,,,,,,,,,,,,,,,,
Boyd_M_Bird_journal_section1-024,2,,,24,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,1,
Boyd_M_Bird_journal_section1-024,2,,,25,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,
Boyd_M_Bird_journal_section1-024,2,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Boyd_M_Bird_journal_section1-024,2,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
